business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to other vegetable (except potato) and melon farming.,11888.63,EcoFarms,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to other vegetable (except potato) and melon farming.,10285.21,FreshFields,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to sugar beet farming.,34196.97,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to cotton farming.,13658.58,AgriCorp,Procured for cotton farming operations.,Cotton Farming
Activities related to other poultry production.,2971.18,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to apiculture.,39870.22,FreshFields,Procured for apiculture operations.,Apiculture
Activities related to other poultry production.,44674.77,EcoFarms,Procured for other poultry production operations.,Other Poultry Production
Activities related to finfish farming and fish hatcheries.,3423.87,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to potato farming.,24220.21,BioHarvest,Procured for potato farming operations.,Potato Farming
Activities related to apiculture.,12867.1,BioHarvest,Procured for apiculture operations.,Apiculture
Activities related to sheep farming.,23139.62,FreshFields,Procured for sheep farming operations.,Sheep Farming
Activities related to peanut farming.,17180.55,BioHarvest,Procured for peanut farming operations.,Peanut Farming
Activities related to other food crops grown under cover.,45223.18,BioHarvest,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to apiculture.,32235.81,AgriCorp,Procured for apiculture operations.,Apiculture
Activities related to tree nut farming.,32883.55,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to apiculture.,49963.23,CropGen,Procured for apiculture operations.,Apiculture
Activities related to fur-bearing animal and rabbit production.,35570.19,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to horses and other equine production.,42818.76,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to citrus (except orange) groves.,32052.15,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to hog and pig farming.,6795.43,EcoFarms,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to oilseed (except soybean) farming.,10094.76,EcoFarms,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to oilseed and grain combination farming.,32334.32,FreshFields,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to other aquaculture.,11627.62,AgriCorp,Procured for other aquaculture operations.,Other Aquaculture
Activities related to grape vineyards.,33922.08,CropGen,Procured for grape vineyards operations.,Grape Vineyards
Activities related to shellfish farming.,17875.21,AgriCorp,Procured for shellfish farming operations.,Shellfish Farming
Activities related to peanut farming.,12622.4,AgriCorp,Procured for peanut farming operations.,Peanut Farming
Activities related to other aquaculture.,39924.14,AgriCorp,Procured for other aquaculture operations.,Other Aquaculture
Activities related to strawberry farming.,23156.68,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to wheat farming.,26741.41,FreshFields,Procured for wheat farming operations.,Wheat Farming
Activities related to nursery and tree production.,13715.96,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to tobacco farming.,30003.16,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to cotton farming.,1378.46,CropGen,Procured for cotton farming operations.,Cotton Farming
Activities related to fruit and tree nut combination farming.,28841.34,AgriCorp,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to tobacco farming.,28168.83,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to rice farming.,8857.67,AgriCorp,Procured for rice farming operations.,Rice Farming
Activities related to chicken egg production.,4136.54,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to wheat farming.,25355.1,BioHarvest,Procured for wheat farming operations.,Wheat Farming
Activities related to other aquaculture.,43915.68,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to finfish farming and fish hatcheries.,4235.4,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to dual-purpose cattle ranching and farming.,26939.23,FreshFields,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to citrus (except orange) groves.,33746.07,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to berry (except strawberry) farming.,1098.49,BioHarvest,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to finfish farming and fish hatcheries.,38647.01,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to cattle feedlots.,41347.99,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to other noncitrus fruit farming.,46719.05,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to hog and pig farming.,38808.23,BioHarvest,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to potato farming.,39736.22,CropGen,Procured for potato farming operations.,Potato Farming
Activities related to oilseed and grain combination farming.,41871.57,FreshFields,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to other food crops grown under cover.,19148.67,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to fur-bearing animal and rabbit production.,12149.4,FreshFields,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to berry (except strawberry) farming.,37161.18,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to cattle feedlots.,40213.05,FreshFields,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to other poultry production.,49442.47,AgriCorp,Procured for other poultry production operations.,Other Poultry Production
Activities related to all other animal production.,28513.62,CropGen,Procured for all other animal production operations.,All Other Animal Production
Activities related to shellfish farming.,31938.69,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to sugarcane farming.,43107.21,CropGen,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to mushroom production.,23428.46,FreshFields,Procured for mushroom production operations.,Mushroom Production
Activities related to orange groves.,45461.91,EcoFarms,Procured for orange groves operations.,Orange Groves
Activities related to sheep farming.,41771.31,FreshFields,Procured for sheep farming operations.,Sheep Farming
Activities related to tobacco farming.,18726.54,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to shellfish farming.,4154.4,CropGen,Procured for shellfish farming operations.,Shellfish Farming
